id,name,description,category,price,image,quantity,age,gender,company,holiday,cognitive_development,motor_skills_development,social_development,emotional_development,language_and_literacy
23,Magnetic Building Tiles,Colorful magnetic tiles for creative construction,Educational,26.99,magnetic_tiles.jpg,20,3 to 8,Unisex,Blue Orange Games,Easter,4,3,2,1,5
24,Dress-Up Costume Set,Assorted costumes for imaginative dress-up play,Pretend Play,29.95,dress_up_costume.jpg,18,4 to 8,Unisex,Radio Flyer,Thanksgiving,3,2,4,1,5
25,Bouncing Ball with Handle,Bouncy ball with handle for active play,Outdoor Play,12.75,bouncing_ball.jpg,40,2 to 5,Unisex,Schleich,Christmas,2,4,3,1,5
26,Toy Doctor Kit,Complete doctor kit for pretend medical play,Pretend Play,19.99,doctor_kit.jpg,25,3 to 7,Unisex,McFarlane Toys,Thanksgiving,3,2,4,1,5
27,Wooden Train Set,Classic wooden train set with tracks,Vehicle Toys,34.5,train_set.jpg,15,3 to 8,Unisex,Crayola,Christmas,3,4,2,1,5
28,Animal Shape Sorting Cube,Wooden cube with animal shapes for learning,Educational,15.25,sorting_cube.jpg,30,1 to 3,Unisex,PlaSmart,Easter,2,1,4,3,5
29,Colorful Play Tunnel,Flexible and colorful play tunnel for crawling,Outdoor Play,22.99,play_tunnel.jpg,20,1 to 5,Unisex,MindWare,Thanksgiving,2,3,4,1,5
30,Art Easel with Accessories,Adjustable art easel with painting accessories,Arts and Crafts,39.95,art_easel.jpg,12,4 to 10,Unisex,Small World Toys,Thanksgiving,4,3,2,1,5
31,Interactive Talking Robot,Futuristic robot that engages in interactive conversations,Interactive Toys,49.99,talking_robot.jpg,10,6 to 12,Unisex,Tedco Toys,Christmas,5,4,3,2,1
32,Construction Paper Set,Vibrant construction paper for arts and crafts projects,Arts and Crafts,9.5,construction_paper.jpg,35,5 to 12,Unisex,Manhattan Toy,New Year,2,3,4,1,5
33,Magic Wand and Hat Set,Magician's wand and hat for magical play,Pretend Play,16.75,magic_wand_set.jpg,25,4 to 8,Unisex,Schylling,Christmas,3,2,4,1,5
34,Wooden Jigsaw Puzzles,Assorted wooden jigsaw puzzles for problem-solving,Educational,13.99,jigsaw_puzzles.jpg,30,3 to 7,Unisex,T.S. Shure,Thanksgiving,3,4,2,1,5
35,Outdoor Explorer Kit,Kit for young explorers with binoculars, compass,28.95,explorer_kit.jpg,15,10 to 14,Unisex,Schleich,Thanksgiving,3,5,4,3,5
36,Plush Animal Hand Puppets,Soft and cute animal hand puppets for imaginative play,Puppets,19.25,hand_puppets.jpg,20,3 to 8,Unisex,Micro Kickboard,Thanksgiving,3,2,4,1,5
37,Miniature Dollhouse Furniture,Mini furniture set for dollhouse play,Dolls and Accessories,12.99,dollhouse_furniture.jpg,40,3 to 7,Unisex,B. Toys,New Year,2,1,4,3,5
38,Soccer Ball and Goal Set,Mini soccer ball and goal for backyard fun,Sports and Outdoor Games,24.5,soccer_set.jpg,18,3 to 12,Unisex,Anki,Christmas,4,5,3,2,1
39,Musical Keyboard for Kids,Colorful musical keyboard for budding musicians,Musical Toys,36.99,musical_keyboard.jpg,12,4 to 10,Unisex,Anki,Christmas,3,4,2,1,5
40,Science Fiction Spaceship,Spaceship toy with lights and sounds for imaginative play,Action Figures,42.5,spaceship_toy.jpg,10,6 to 12,Unisex,MindWare,Thanksgiving,5,4,3,2,1
41,Artificial Intelligence Robot,Smart robot with AI capabilities for interactive learning,Interactive Toys,59.99,ai_robot.jpg,8,8 to 14,Unisex,Magic Cabin,New Year,5,4,3,2,1
42,Basketball Hoop and Ball Set,Adjustable basketball hoop for indoor or outdoor play,Sports and Outdoor Games,29.75,basketball_set.jpg,15,5 to 12,Unisex,Basic Fun!,Easter,4,5,3,2,1
43,Wooden Building Blocks,Traditional wooden building blocks for creative construction,Educational,17.99,wooden_blocks.jpg,25,2 to 6,Unisex,WowToyz,Thanksgiving,3,4,2,1,5
44,Princess Castle Play Tent,Enchanting castle play tent for imaginative adventures,Pretend Play,32.95,castle_tent.jpg,12,3 to 8,Girls,PicassoTiles,New Year,3,2,4,1,5
45,Robot Dinosaur Toy,Dinosaur-shaped robot toy with interactive features,Action Figures,23.5,robot_dinosaur.jpg,20,4 to 8,Unisex,Anki,Thanksgiving,4,3,2,1,5
46,Finger Painting Kit,Mess-free finger painting kit for young artists,Arts and Crafts,14.25,finger_painting_kit.jpg,30,2 to 5,Unisex,Play Visions,Christmas,2,3,4,1,5
47,Adventure Playset with Figures,Adventure-themed playset with action figures,Action Figures,39.99,adventure_playset.jpg,10,4 to 10,Unisex,Winning Moves Games,New Year,4,5,3,2,1
48,Magnetic Fishing Game,Colorful magnetic fishing game for fine motor skills development,Educational,18.5,fishing_game.jpg,25,3 to 6,Unisex,Schleich,Easter,3,4,2,1,5
49,Tea Party Pretend Playset,Delightful tea party playset for imaginative social play,Pretend Play,26.75,tea_party_set.jpg,18,3 to 8,Unisex,Ideal Toy Corp.,Easter,3,2,4,1,5
50,Electronic Learning Pad,Interactive electronic learning pad for early education,Educational,31.99,learning_pad.jpg,15,2 to 5,Unisex,Cepia,Christmas,4,3,2,1,5
51,Wooden Dollhouse,Beautifully crafted wooden dollhouse for hours of play,Dolls and Accessories,49.5,dollhouse_wooden.jpg,12,3 to 10,Unisex,Tedco Toys,Easter,3,2,4,1,5
52,Miniature Train Set,Compact train set for small spaces,Vehicle Toys,15.99,mini_train_set.jpg,20,2 to 6,Unisex,Fat Brain Toys,New Year,2,5,3,1,4
53,Artificial Intelligence Coding Robot,Robot that teaches coding and programming skills,STEM Toys,54.99,ai_coding_robot.jpg,10,6 to 12,Unisex,Playmobil,Thanksgiving,5,4,3,2,1
54,Colorful Play Dough Set,Vibrant play dough set for creative sculpting,Arts and Crafts,12.75,play_dough_set.jpg,30,3 to 8,Unisex,Edushape,Easter,3,4,2,1,5
55,Outdoor Adventure Binoculars,Real binoculars for young adventurers,Outdoor Play,19.25,binoculars.jpg,25,5 to 12,Unisex,Iwako,New Year,4,3,5,2,1
56,Magnetic Alphabet Letters,Colorful magnetic alphabet letters for learning,Educational,14.5,alphabet_magnets.jpg,40,2 to 5,Unisex,RoosterFin Games,New Year,3,2,4,1,5
57,Doctor Role Play Set,Complete doctor role play set with accessories,Pretend Play,29.95,doctor_role_play.jpg,18,3 to 7,Unisex,McNeill Designs,New Year,3,2,4,1,5
58,Remote Control Boat,High-speed remote control boat for water adventures,Remote Control,38.5,rc_boat.jpg,15,8 to 14,Unisex,LeapFrog,Thanksgiving,4,5,3,2,1
59,Plush Unicorn,Adorable and soft plush unicorn for cuddling,Stuffed Animals,22.99,plush_unicorn.jpg,20,Any,Unisex,Learning Resources,New Year,2,1,4,3,5
60,Educational Solar System Kit,Interactive kit for learning about the solar system,Educational,33.75,solar_system_kit.jpg,12,6 to 12,Unisex,Two Bros Bows,New Year,4,3,2,1,5
61,Magnetic Building Blocks,Colorful magnetic building blocks for creative construction,Educational,24.99,magnetic_building_blocks.jpg,20,3 to 8,Unisex,LeapFrog,Thanksgiving,4,3,2,1,5
62,Kids Gardening Set,Complete gardening set for young green thumbs,Outdoor Play,19.75,gardening_set.jpg,18,3 to 10,Unisex,Mudpuppy,Thanksgiving,3,4,2,1,5
63,Remote Control Quadcopter,Quadcopter drone with remote control for outdoor fun,Remote Control,59.99,quadcopter.jpg,10,8 to 14,Unisex,PlaSmart,Thanksgiving,5,4,3,2,1
64,Wooden Memory Match Game,Classic wooden memory match game for cognitive development,Educational,14.25,memory_match_game.jpg,30,3 to 7,Unisex,Geospace,Thanksgiving,3,4,2,1,5
65,Stuffed Animal Storage Hammock,Hammock for organizing and displaying stuffed animals,Storage and Organization,13.5,storage_hammock.jpg,25,Any,Unisex,Diggin,Thanksgiving,2,1,4,3,5
66,Toy Cash Register,Interactive toy cash register for pretend play,Pretend Play,26.99,cash_register.jpg,18,3 to 8,Unisex,Manhattan Toy,New Year,3,2,4,1,5
67,Race Car Track Set,Exciting race car track set with loop-de-loop,Vehicle Toys,32.5,race_car_track_set.jpg,15,4 to 10,Unisex,Mudpuppy,New Year,4,5,3,2,1
68,Interactive Learning Globe,Interactive globe for learning about geography and cultures,Educational,49.99,learning_globe.jpg,12,6 to 12,Unisex,LeapFrog,Christmas,4,3,2,1,5
69,Soft Baby Book Set,Set of soft baby books with sensory features,Infant Toys,18.75,soft_baby_books.jpg,20,0 to 2,Unisex,Crocodile Creek,Christmas,2,1,4,3,5
70,Dinosaur Fossil Dig Kit,Exciting kit for digging and discovering dinosaur fossils,Science and Nature,21.5,fossil_dig_kit.jpg,15,5 to 10,Unisex,Patch Products,New Year,3,4,2,1,5
71,Wooden Pattern Blocks,Wooden pattern blocks for shape recognition and creativity,Educational,12.99,pattern_blocks.jpg,30,3 to 8,Unisex,HearthSong,Christmas,3,2,4,1,5
72,Pretend Play Kitchen Set,Realistic kitchen playset for imaginative cooking,Pretend Play,42.95,pretend_kitchen_set.jpg,10,3 to 8,Unisex,Hexbug,Easter,4,3,5,2,1
73,Robot Dog Companion,Interactive robot dog companion with sound and movement,Interactive Toys,35.99,robot_dog.jpg,18,4 to 10,Unisex,Be Amazing! Toys,Thanksgiving,3,4,2,1,5
74,Colorful Wooden Puzzle,Colorful wooden puzzle for early problem-solving skills,Educational,14.5,wooden_puzzle.jpg,25,2 to 5,Unisex,Toy State,Easter,2,3,4,1,5
75,Art and Craft Supplies Set,Comprehensive set of art and craft supplies for creative projects,Arts and Crafts,29.75,art_craft_supplies.jpg,15,5 to 12,Unisex,Blue Orange Games,Easter,4,3,2,1,5
76,Musical Drum Set for Kids,Child-friendly musical drum set for rhythm and coordination,Musical Toys,26.99,kids_drum_set.jpg,12,3 to 8,Unisex,Tolo Toys,Easter,3,4,2,1,5
77,Wooden 3D Puzzle,Challenging wooden 3D puzzle for spatial reasoning,Educational,18.25,wooden_3d_puzzle.jpg,20,6 to 12,Unisex,Bruder,Christmas,4,5,3,2,1
78,Colorful Building Blocks,Set of colorful building blocks for creative play,Educational,15.99,blocks_colorful.jpg,25,2 to 5,Unisex,Klutz,Christmas,3,4,2,1,5
79,Remote Control Drone,Advanced remote control drone with camera,Remote Control,69.99,drone_remote_control.jpg,8,10 to 14,Unisex,Anki,Easter,5,4,3,2,1
80,Plush Elephant,Soft and cuddly plush elephant for comfort,Stuffed Animals,18.5,plush_elephant.jpg,30,0 to 3,Unisex,Mattel,New Year,2,1,4,3,5
81,Dinosaur Puzzle,Simple dinosaur puzzle for young learners,Educational,10.25,dinosaur_puzzle.jpg,40,3 to 6,Unisex,SmartLab Toys,Easter,3,2,4,1,5
82,Role Play Firefighter Set,Complete role play set for aspiring firefighters,Pretend Play,26.75,firefighter_role_play.jpg,18,3 to 7,Unisex,Crayola,Thanksgiving,3,2,4,1,5
83,Inflatable Bounce House,Inflatable bounce house for backyard fun,Outdoor Play,129.99,bounce_house.jpg,5,3 to 10,Unisex,Kid Galaxy,Christmas,4,3,5,2,1
84,Electronic Drum Set for Kids,Electronic drum set for young musicians,Musical Toys,42.5,kids_drum_set_electronic.jpg,12,4 to 10,Unisex,Cepia,New Year,4,3,2,1,5
85,Magnetic Poetry Kit,Magnetic poetry kit for language and literacy development,Educational,14.99,magnetic_poetry.jpg,30,8 to 14,Unisex,Barbie,Thanksgiving,3,4,2,1,5
86,Robot Soccer Player,Robot soccer player toy with kicking action,Action Figures,29.95,robot_soccer_player.jpg,15,6 to 12,Unisex,Lakeshore Learning Materials,Christmas,4,5,3,2,1
87,Interactive Talking Globe,Interactive globe for learning about countries and cultures,Educational,54.99,talking_globe.jpg,10,6 to 12,Unisex,Battat,Christmas,4,3,2,1,5
88,Soft Baby Rattle Set,Set of soft baby rattles for sensory stimulation,Infant Toys,16.5,baby_rattle_set.jpg,25,0 to 1,Unisex,Duncan Toys,Easter,2,1,4,3,5
89,Building and Construction Set,Comprehensive building and construction set for creative play,Educational,31.75,building_set.jpg,18,4 to 10,Unisex,T.S. Shure,Thanksgiving,3,4,2,1,5
90,Adventure Playhouse Tent,Spacious adventure playhouse tent for imaginative play,Outdoor Play,38.95,playhouse_tent.jpg,12,3 to 8,Unisex,Learning Resources,New Year,4,3,5,2,1
91,Wooden Puzzle Cube,Wooden puzzle cube for developing problem-solving skills,Educational,11.25,puzzle_cube.jpg,30,2 to 5,Unisex,Toysmith,New Year,3,2,4,1,5
92,Doctor Role Play Kit,Complete doctor role play kit with medical accessories,Pretend Play,27.5,doctor_role_play_kit.jpg,15,3 to 7,Unisex,EPOCH Co.,New Year,3,2,4,1,5
93,Remote Control Submarine,Remote control submarine for underwater adventures,Remote Control,33.99,submarine_rc.jpg,20,8 to 14,Unisex,Diggin,New Year,4,5,3,2,1
94,Stuffed Animal Organizer,Organizer for neatly storing and displaying stuffed animals,Storage and Organization,19.99,stuffed_animal_organizer.jpg,25,Any,Unisex,National Geographic,Thanksgiving,2,1,4,3,5
95,Mini Soccer Goal Set,Mini soccer goal set for backyard matches,Sports and Outdoor Games,22.5,soccer_goal_set.jpg,18,3 to 12,Unisex,HearthSong,Christmas,4,5,3,2,1
96,Artistic Watercolor Set,Watercolor painting set for budding artists,Arts and Crafts,18.99,watercolor_set.jpg,20,6 to 12,Unisex,Crayola,Thanksgiving,3,4,2,1,5
97,Robot Building Blocks,DIY robot building blocks kit for STEM education,Educational,26.99,robot_building_blocks.jpg,15,8 to 12,Unisex,Little Live Pets,New Year,5,5,3,2,1
98,Soft Plush Bunny,Adorable and huggable plush bunny for comfort,Stuffed Animals,14.95,plush_bunny.jpg,30,0 to 3,Unisex,Orb Factory,Thanksgiving,2,1,4,3,5
99,Science Lab Kit for Kids,Complete science lab kit for hands-on experiments,STEM Toys,32.5,science_lab_kit.jpg,18,8 to 14,Unisex,Play-Doh,New Year,5,4,3,2,1
100,Construction Building Set,Construction set for building various structures,Educational,27.95,construction_building_set.jpg,22,5 to 10,Unisex,Green Toys,New Year,3,4,2,1,5
101,Wooden Alphabet Puzzle,Wooden puzzle for learning letters and alphabet,Educational,14.25,alphabet_puzzle.jpg,25,2 to 5,Unisex,Manhattan Toy,Christmas,3,2,4,1,5
102,Wooden Railway Set,Classic wooden railway set for endless adventures,Vehicle Toys,49.99,wooden_railway_set.jpg,12,3 to 8,Unisex,Safari Ltd.,Easter,3,4,2,1,5
103,Artistic Modeling Clay Set,Colorful modeling clay set for sculpting and creativity,Arts and Crafts,14.75,modeling_clay_set.jpg,25,5 to 12,Unisex,Uncle Milton,Thanksgiving,3,2,4,1,5
104,Musical Tambourine,Colorful musical tambourine for rhythm and music play,Musical Toys,9.5,tambourine.jpg,30,2 to 6,Unisex,Micro Kickboard,Easter,2,3,4,1,5
105,Plush Penguin,Adorable and soft plush penguin for cuddling,Stuffed Animals,12.99,plush_penguin.jpg,40,Any,Unisex,RoosterFin Games,Christmas,2,1,4,3,5
106,Magnetic Drawing Board,Magnetic drawing board for creative and mess-free doodling,Educational,19.25,magnetic_drawing_board.jpg,20,3 to 8,Unisex,Green Toys,Thanksgiving,3,2,4,1,5
107,Play Kitchen Utensil Set,Set of play kitchen utensils for imaginative cooking play,Pretend Play,14.99,kitchen_utensil_set.jpg,25,3 to 8,Unisex,SmartLab Toys,New Year,3,4,2,1,5
108,Construction Truck Set,Set of construction trucks for sandbox or indoor play,Vehicle Toys,32.5,construction_truck_set.jpg,18,3 to 8,Unisex,Siku,Easter,4,3,5,2,1
109,Wooden ABC Blocks,Wooden blocks with letters for early literacy development,Educational,22.75,wooden_abc_blocks.jpg,12,2 to 5,Unisex,Meffert's,Easter,3,2,4,1,5
110,Adventure Play Mat,Colorful and engaging adventure play mat for floor play,Outdoor Play,24.5,adventure_play_mat.jpg,30,1 to 5,Unisex,Nerf Dog,Thanksgiving,4,3,5,2,1
111,Plush Giraffe,Soft and cuddly plush giraffe for comfort,Stuffed Animals,16.5,plush_giraffe.jpg,25,0 to 3,Unisex,WowWee,Christmas,2,1,4,3,5
112,Junior Artist Painting Set,Painting set for young artists with various tools,Arts and Crafts,18.99,junior_artist_painting_set.jpg,15,3 to 8,Unisex,Alex Toys,New Year,3,4,2,1,5
113,Mini Basketball Hoop,Mini basketball hoop for indoor fun and practice,Sports and Outdoor Games,14.25,basketball_hoop.jpg,20,5 to 12,Unisex,Tolo Toys,Thanksgiving,4,5,3,2,1
114,Role Play Construction Helmet,Role play construction helmet for imaginative building play,Pretend Play,16.75,construction_helmet.jpg,18,3 to 7,Unisex,Plan Toys,Christmas,3,2,4,1,5
115,Plush Tiger,Adorable and soft plush tiger for cuddling,Stuffed Animals,14.5,plush_tiger.jpg,30,Any,Unisex,Plan Toys,Thanksgiving,2,1,4,3,5
116,Art Easel with Chalkboard,Art easel with chalkboard for drawing and creativity,Arts and Crafts,36.5,art_easel_chalkboard.jpg,10,4 to 10,Unisex,Top Trumps,Thanksgiving,4,3,2,1,5
117,Wooden Stacking Blocks,Wooden stacking blocks for building and coordination,Educational,17.99,wooden_stacking_blocks.jpg,25,2 to 6,Unisex,Safari Ltd.,New Year,3,4,2,1,5
118,Wooden Shape Sorting Toy,Wooden shape sorting toy for early cognitive development,Educational,19.99,shape_sorting_toy.jpg,20,1 to 4,Unisex,Uncle Milton,Thanksgiving,3,2,4,1,5
119,Playful Animal Finger Puppets,Set of playful animal finger puppets for storytelling,Pretend Play,12.5,finger_puppets_animal.jpg,25,2 to 6,Unisex,PlaSmart,New Year,2,1,4,3,5
120,Remote Control Monster Truck,Powerful remote control monster truck for off-road adventures,Remote Control,44.95,rc_monster_truck.jpg,15,6 to 12,Unisex,BeginAgain,Easter,4,5,3,2,1
121,Mini Chess and Checkers Set,Compact chess and checkers set for strategic fun,Board Games,9.99,chess_checkers_set_mini.jpg,30,6 to 14,Unisex,Kangaroo Manufacturing,Easter,3,4,2,1,5
122,Plush Koala,Soft and huggable plush koala for cuddling,Stuffed Animals,14.99,plush_koala.jpg,35,Any,Unisex,Meccano,Christmas,2,1,4,3,5
123,RC Racing Boat,High-speed remote control racing boat for water fun,Remote Control,45.99,rc_racing_boat.jpg,12,8 to 14,Unisex,Learning Resources,Christmas,4,5,3,2,1
124,Animal Finger Puppets,Set of cute animal finger puppets for storytelling,Pretend Play,8.75,animal_finger_puppets.jpg,40,2 to 6,Unisex,Educational Insights,Thanksgiving,2,1,4,3,5
125,Stuffed Bear,Soft and cuddly stuffed bear for comforting hugs,Stuffed Animals,16.99,stuffed_bear.jpg,30,Any,Unisex,Build-A-Bear Workshop,Easter,2,1,4,3,5
126,Space Explorer Play Tent,Space-themed play tent for cosmic adventures,Pretend Play,32.95,space_explorer_tent.jpg,18,3 to 10,Unisex,Kid O,New Year,4,5,3,2,1
127,Wooden Tea Set,Delightful wooden tea set for imaginative tea parties,Pretend Play,19.99,wooden_tea_set.jpg,25,3 to 8,Girls,Alex Toys,Thanksgiving,3,4,2,1,5
128,Tool Bench Playset,Interactive tool bench playset for little builders,Pretend Play,34.75,tool_bench_playset.jpg,20,3 to 7,Boys,Mudpuppy,Christmas,3,2,4,1,5
129,Fire Truck Playset,Interactive fire truck playset for action-packed rescue play,Vehicle Toys,28.99,fire_truck_playset.jpg,15,3 to 8,Boys,Edushape,New Year,4,3,5,2,1
130,Princess Castle Playset,Enchanting princess castle playset for magical adventures,Pretend Play,34.95,princess_castle_playset.jpg,18,3 to 8,Girls,Educational Insights,Easter,4,3,5,2,1
131,Construction Site Playmat,Playmat with construction site theme for imaginative play,Pretend Play,19.99,construction_playmat.jpg,25,3 to 8,Boys,Blue Orange Games,Christmas,3,4,2,1,5
132,Toy Fire Truck,Interactive toy fire truck with lights and sounds,Vehicle Toys,22.5,fire_truck_toy.jpg,18,3 to 8,Boys,TOMY,Christmas,4,3,5,2,1
133,Mermaid Princess Doll,Beautiful mermaid princess doll for magical play,Pretend Play,16.75,mermaid_doll.jpg,25,3 to 8,Girls,Bandai,Easter,2,3,4,1,5
134,Remote Control Racing Car,High-speed remote control racing car for thrilling races,Vehicle Toys,34.99,racing_car.jpg,20,6 to 12,Boys,Moose Toys,Easter,4,5,3,2,1
135,Princess Dress-Up Set,Sparkling princess dress-up set for magical play,Pretend Play,18.5,princess_dress_up_set.jpg,25,3 to 8,Girls,Mindscope,Easter,2,3,4,1,5
136,Toy Tool Set,Complete toy tool set for little builders,Pretend Play,21.25,toy_tool_set.jpg,15,3 to 7,Boys,Faber-Castell,New Year,3,2,4,1,5
137,Musical Guitar for Kids,Colorful musical guitar for young aspiring musicians,Musical Toys,24.99,musical_guitar.jpg,18,4 to 10,Boys,Plan Toys,New Year,3,4,2,1,5
138,Doll Stroller,Adorable doll stroller for pretend walks with dolls,Pretend Play,16.95,doll_stroller.jpg,25,3 to 8,Girls,Hexbug,Easter,2,3,4,1,5
139,Remote Control Robot,Intelligent remote control robot with various functions,Interactive Toys,49.99,remote_control_robot.jpg,12,8 to 14,Boys,Iwako,Easter,4,5,3,2,1
140,Wooden Puzzle Set,Set of wooden puzzles for cognitive development,Educational,14.5,wooden_puzzle_set.jpg,25,3 to 8,Unisex,Goliath Games,Easter,3,2,4,1,5
141,Superhero Costume Set,Superhero costume set for exciting pretend play,Pretend Play,27.5,superhero_costume_set.jpg,18,3 to 8,Boys,Ogosport,New Year,4,3,5,2,1
142,Racing Car Track Set,Exciting racing car track set for high-speed adventures,Vehicle Toys,42.99,racing_car_track_set.jpg,12,4 to 10,Boys,Playgo,Christmas,5,4,3,2,1
143,Construction Worker Role Play Set,Complete construction worker role play set with accessories,Pretend Play,26.75,construction_worker_role_play.jpg,18,3 to 7,Boys,Manhattan Toy,Easter,3,2,4,1,5
144,Interactive Robot Toy,Cute and interactive robot toy with lights and sounds,Interactive Toys,32.99,interactive_robot_toy.jpg,20,3 to 8,Unisex,B. Toys,Christmas,4,3,5,2,1
145,Unicorn Plush Pillow,Soft and huggable unicorn plush pillow for bedtime comfort,Stuffed Animals,19.5,unicorn_plush_pillow.jpg,25,Any,Girls,Play Visions,Christmas,2,1,4,3,5
146,Outdoor Adventure Kit,Complete outdoor adventure kit for young explorers,Outdoor Play,29.99,outdoor_adventure_kit.jpg,18,5 to 12,Unisex,Battat,Christmas,4,5,3,2,1
147,Dinosaur Building Blocks Set,Dinosaur-themed building blocks set for imaginative play,Educational,22.5,dinosaur_building_blocks.jpg,30,3 to 8,Boys,4M,Christmas,3,2,4,1,5
148,Tea Party Pretend Play Set,Delightful tea party pretend play set for imaginative fun,Pretend Play,24.95,tea_party_pretend_play_set.jpg,15,3 to 7,Girls,Zing Toys,New Year,3,2,4,1,5
149,Superhero Cape and Mask Set,Superhero cape and mask set for exciting dress-up play,Pretend Play,17.5,superhero_cape_mask_set.jpg,18,3 to 8,Boys,K'NEX,Easter,4,3,5,2,1
150,Kids Art Easel Set,Double-sided kids art easel set for creative drawing and painting,Arts and Crafts,36.5,kids_art_easel_set.jpg,18,3 to 8,Boys,B. Toys,Thanksgiving,4,3,2,1,5
151,Colorful Bead Jewelry Kit,Creative bead jewelry kit for making personalized accessories,Arts and Crafts,14.99,bead_jewelry_kit.jpg,25,7 to 12,Girls,International Playthings,Thanksgiving,3,2,4,1,5
152,DIY Bracelet Kit,Do-it-yourself bracelet kit for creative jewelry crafting,Arts and Crafts,12.75,diy_bracelet_kit.jpg,25,6 to 12,Girls,Magic Cabin,Christmas,3,2,4,1,5
153,Toy Train Set,Classic toy train set for endless railway adventures,Vehicle Toys,42.5,toy_train_set.jpg,12,3 to 8,Boys,Kangaroo Manufacturing,Thanksgiving,3,4,2,1,5
154,Kids Binoculars,Compact binoculars for young explorers,Science and Nature,18.5,kids_binoculars.jpg,30,6 to 12,Boys,Peaceable Kingdom,New Year,2,1,4,3,5
155,Pretend Play Tool Set,Complete pretend play tool set for little builders,Pretend Play,19.99,pretend_tool_set.jpg,20,3 to 8,Boys,Mayfair Games,New Year,4,3,5,2,1
