id,name,phone
112,Alex Toys,-2037240105
113,Tolo Toys,-2064387186
114,Plan Toys,-2091534266
115,Plan Toys,-2118681347
116,Top Trumps,-2145828427
117,Safari Ltd.,-2172975508
118,Uncle Milton,-2200122588
119,PlaSmart,-2227269669
120,BeginAgain,-2254416749
121,Kangaroo Manufacturing,-2281563830
122,Meccano,-2308710910
123,Learning Resources,-2335857991
124,Educational Insights,-2363005071
125,Build-A-Bear Workshop,-2390152152
126,Kid O,-2417299232
127,Alex Toys,-2444446313
128,Mudpuppy,-2471593393
129,Edushape,-2498740474
130,Educational Insights,-2525887554
131,Blue Orange Games,-2553034635
132,TOMY,-2580181715
133,Bandai,-2607328796
134,Moose Toys,-2634475876
135,Mindscope,-2661622957
136,Faber-Castell,-2688770037
137,Plan Toys,-2715917118
138,Hexbug,-2743064198
139,Iwako,-2770211279
140,Goliath Games,-2797358359
141,Ogosport,-2824505440
142,Playgo,-2851652520
143,Manhattan Toy,-2878799601
144,B. Toys,-2905946681
145,Play Visions,-2933093762
146,Battat,-2960240842
147,4M,-2987387923
148,Zing Toys,-3014535003
149,K'NEX,-3041682084
150,B. Toys,-3068829164
151,International Playthings,-3095976245
152,Magic Cabin,-3123123325
153,Kangaroo Manufacturing,-3150270406
154,Peaceable Kingdom,-3177417486
155,Mayfair Games,-3204564567
156,Schleich,-3231711647
157,Mukikim,-3258858728
158,Geospace,-3286005808
159,Mattel,-3313152889
160,VTech,-3340299969
161,Be Amazing! Toys,-3367447050
162,Funrise Toys,-3394594130
163,Babalu,-3421741211
164,Be Amazing! Toys,-3448888291
165,Playmobil,-3476035372
166,Duncan Toys,-3503182452
167,Crocodile Creek,-3530329533
168,Mukikim,-3557476613
169,Yomega,-3584623694
170,Fat Brain Toys,-3611770774
171,Osmo,-3638917855
172,PlayMonster,-3666064935
173,PlaSmart,-3693212016
174,Blue Orange Games,-3720359096
175,Spin Master,-3747506177
176,Vtech,-3774653257
177,Ideal Toy Corp.,-3801800338
178,Gamewright,-3828947418
179,Thames & Kosmos,-3856094499
180,Tedco Toys,-3883241579
181,Jakks Pacific,-3910388660
182,Iwako,-3937535740
183,Nerf,-3964682821
184,BeginAgain,-3991829901
185,MindWare,-4018976982
186,Just Play,-4046124062
187,Play Visions,-4073271143
188,Moose Toys,-4100418223
189,Patch Products,-4127565304
190,Mudpuppy,-4154712384
191,Meccano,-4181859465
192,Lakeshore Learning Materials,-4209006545
193,Tegu,-4236153626
194,Duncan Toys,-4263300706
195,National Geographic,-4290447787
196,Automoblox,-4317594867
197,GUND,-4344741948
198,Tuttle Publishing,-4371889028
199,Small World Toys,-4399036109
200,Hog Wild,-4426183189
201,Micro Kickboard,-4453330270
202,Meccano,-4480477350
203,Babalu,-4507624431
204,Tegu,-4534771511
205,Patch Products,-4561918592
206,Winning Moves Games,-4589065672
207,Spin Master,-4616212753
208,Carrera,-4643359833
209,RoosterFin Games,-4670506914
210,Babalu,-4697653994
211,Hexbug,-4724801075
212,Yookidoo,-4751948155
213,Brio,-4779095236
214,Kid O,-4806242316
215,Sassy,-4833389397
216,Tedco Toys,-4860536477
217,Goliath Games,-4887683558
218,Manhattan Toy,-4914830638
219,Tactic Games,-4941977719
220,Educational Insights,-4969124799
221,Jakks Pacific,-4996271880
222,Bandai,-5023418960
223,Schleich,-5050566041
224,Build-A-Bear Workshop,-5077713121
225,Small World Toys,-5104860202
226,Yomega,-5132007282
227,Kangaroo Manufacturing,-5159154363
228,Mezco Toyz,-5186301443
229,Brainwright,-5213448524
230,Poof-Slinky,-5240595604
231,RoosterFin Games,-5267742685
232,Vtech,-5294889765
233,Quercetti,-5322036846
234,Mayfair Games,-5349183926
235,Nerf,-5376331007
236,Hexbug,-5403478087
237,Learning Resources,-5430625168
238,Hoberman,-5457772248
239,RoosterFin Games,-5484919329
240,Hoberman,-5512066409
241,Blue Orange Games,-5539213490
242,Hape,-5566360570
243,EPOCH Co.,-5593507651
244,Nerf,-5620654731
245,Sassy,-5647801812
246,Thames & Kosmos,-5674948892
247,Edushape,-5702095973
248,ZOOB,-5729243053
249,Jakks Pacific,-5756390134
250,Plan Toys,-5783537214
251,Hasbro,-5810684295
252,Green Toys,-5837831375
253,Poof-Slinky,-5864978456
254,Disney,-5892125536
255,Little Tikes,-5919272617
256,Mudpuppy,-5946419697
257,Spin Master,-5973566778
258,Super Impulse,-6000713858
259,Tuttle Publishing,-6027860939
260,Iwako,-6055008019
261,Funrise Toys,-6082155100
262,Blue Orange Games,-6109302180
263,Quercetti,-6136449261
264,Diggin,-6163596341
265,Blue Orange Games,-6190743422
266,Thames & Kosmos,-6217890502
267,Wild Republic,-6245037583
268,Carrera,-6272184663
269,Geomag,-6299331744
270,North Star Games,-6326478824
271,Play Visions,-6353625905
272,K'NEX,-6380772985
273,Toy Biz,-6407920066
274,Educational Insights,-6435067146
275,Hape,-6462214227
276,B. Toys,-6489361307
277,Two Bros Bows,-6516508388
278,Thames & Kosmos,-6543655468
279,Play Visions,-6570802549
280,Faber-Castell,-6597949629
281,Duncan Toys,-6625096710
282,Hape,-6652243790
283,Playmobil,-6679390871
284,PlaSmart,-6706537951
285,PopSockets,-6733685032
286,Little Live Pets,-6760832112
287,VTech,-6787979193
288,ZOOB,-6815126273
289,Zuru,-6842273354
290,Rich Frog Industries,-6869420434
291,Ogosport,-6896567515
292,Mayfair Games,-6923714595
293,Mudpuppy,-6950861676
294,WowWee,-6978008756
295,VTech,-7005155837
296,Redwood Ventures,-7032302917
297,4M,-7059449998
298,Learning Resources,-7086597078
299,Barbie,-7113744159
300,Learning Resources,-7140891239
301,Little Tikes,-7168038320
302,T.S. Shure,-7195185400
303,Waboba,-7222332481
304,Hexbug,-7249479561
305,GoldieBlox,-7276626642
306,Playmates Toys,-7303773722
307,Blue Orange Games,-7330920803
308,Ogosport,-7358067883
309,Faber-Castell,-7385214964
310,Manhattan Toy,-7412362044
311,McFarlane Toys,-7439509125
312,Two Bros Bows,-7466656205
313,Thames & Kosmos,-7493803286
314,Fat Brain Toys,-7520950366
315,Moose Toys,-7548097447
316,Toy State,-7575244527
317,PlaSmart,-7602391608
318,Moose Toys,-7629538688
319,Mukikim,-7656685769
320,Learning Resources,-7683832849
321,Toy State,-7710979930
322,Edushape,-7738127010
323,Blue Orange Games,-7765274091
324,Bratz,-7792421171
325,Tuttle Publishing,-7819568252
326,Zing Toys,-7846715332
327,Just Play,-7873862413
328,Micro Kickboard,-7901009493
329,Kangaroo Manufacturing,-7928156574
330,Fat Brain Toys,-7955303654
331,Patch Products,-7982450735
332,Redwood Ventures,-8009597815
333,Hexbug,-8036744896
334,Thames & Kosmos,-8063891976
335,Carrera,-8091039057
336,Skyrocket Toys,-8118186137
337,4M,-8145333218
338,Uncle Milton,-8172480298
339,International Playthings,-8199627379
340,Mudpuppy,-8226774459
341,The Learning Journey,-8253921540
342,Ravensburger,-8281068620
343,Hasbro,-8308215701
344,WowWee,-8335362781
345,WowToyz,-8362509862
346,Mindscope,-8389656942
347,Brainwright,-8416804023
348,Bandai,-8443951103
349,LeapFrog,-8471098184
350,Brainwright,-8498245264
351,Babalu,-8525392345
352,Green Toys,-8552539425
353,Automoblox,-8579686506
354,Goliath Games,-8606833586
355,Tiggly,-8633980667
356,HearthSong,-8661127747
357,Faber-Castell,-8688274828
358,The Original Toy Company,-8715421908
359,WowWee,-8742568989
360,PlaSmart,-8769716069
361,Faber-Castell,-8796863150
362,WowToyz,-8824010230
363,Lakeshore Learning Materials,-8851157311
364,Super Impulse,-8878304391
365,TY Beanie Boos,-8905451472
366,Ideal Toy Corp.,-8932598552
367,Small World Toys,-8959745633
368,Kangaroo Manufacturing,-8986892713
369,Schylling,-9014039794
370,Mudpuppy,-9041186874
371,Duncan Toys,-9068333955
372,Blue Orange Games,-9095481035
373,Super Impulse,-9122628116
374,Iwako,-9149775196
375,Moose Toys,-9176922277
376,Geomag,-9204069357
377,Brainwright,-9231216438
378,Kid O,-9258363518
379,Play Visions,-9285510599
380,Geomag,-9312657679
381,Fisher-Price,-9339804760
382,Meccano,-9366951840
383,Rich Frog Industries,-9394098921
384,Crayon Rocks,-9421246001
385,Learning Resources,-9448393082
386,Crocodile Creek,-9475540162
387,Mukikim,-9502687243
388,SmartLab Toys,-9529834323
389,VTech,-9556981404
390,Sassy,-9584128484
391,Educational Insights,-9611275565
392,Manhattan Toy,-9638422645
393,PlayMonster,-9665569726
394,Manhattan Toy,-9692716806
395,WowToyz,-9719863887
396,Tonka,-9747010967
397,North Star Games,-9774158048
398,Play Visions,-9801305128
399,Hasbro,-9828452209
400,Meffert's,-9855599289
401,Tonka,-9882746370
402,Faber-Castell,-9909893450
403,Learning Resources,-9937040531
404,Rich Frog Industries,-9964187611
405,Tangle Creations,-9991334692
406,Mukikim,-10018481772
407,Gamewright,-10045628853
408,Uncle Milton,-10072775933
409,Top Trumps,-10099923014
410,Fat Brain Toys,-10127070094
411,Bruder,-10154217175
412,TOMY,-10181364255
413,Jazwares,-10208511336
414,Hexbug,-10235658416
415,Small World Toys,-10262805497
416,Zuru,-10289952577
417,PlayMonster,-10317099658
418,Alex Toys,-10344246738
419,Gamewright,-10371393819
420,Rich Frog Industries,-10398540899
421,Manhattan Toy,-10425687980
422,Crayola,-10452835060
423,Brainwright,-10479982141
424,Anki,-10507129221
425,Radio Flyer,-10534276302
426,Manhattan Toy,-10561423382
427,Toy Biz,-10588570463
428,Winning Moves Games,-10615717543
429,Jakks Pacific,-10642864624
430,Mindscope,-10670011704
431,Playmobil,-10697158785
432,GoldieBlox,-10724305865
433,Quercetti,-10751452946
434,PlaSmart,-10778600026
435,Safari Ltd.,-10805747107
436,Mukikim,-10832894187
437,PicassoTiles,-10860041268
438,Meccano,-10887188348
439,Zing Toys,-10914335429
440,Alex Toys,-10941482509
441,Hape,-10968629590
442,Mudpuppy,-10995776670
443,Hexbug,-11022923751
444,Carrera,-11050070831
445,Quercetti,-11077217912
446,Mudpuppy,-11104364992
447,Nerf,-11131512073
448,Mudpuppy,-11158659153
449,Hexbug,-11185806234
450,Lakeshore Learning Materials,-11212953314
451,Skyrocket Toys,-11240100395
452,Learning Resources,-11267247475
453,Kid Galaxy,-11294394556
454,K'NEX,-11321541636
455,Manhattan Toy,-11348688717
456,Carrera,-11375835797
457,Schleich,-11402982878
458,Small World Toys,-11430129958
459,TOMY,-11457277039
460,Ravensburger,-11484424119
461,Funrise Toys,-11511571200
462,Hexbug,-11538718280
463,Bratz,-11565865361
464,Patch Products,-11593012441
465,Zuru,-11620159522
466,Meccano,-11647306602
467,TY Beanie Boos,-11674453683
468,Yomega,-11701600763
469,Cepia,-11728747844
470,Edushape,-11755894924
471,Radio Flyer,-11783042005
472,Winning Moves Games,-11810189085
473,Plan Toys,-11837336166
474,LeapFrog,-11864483246
475,4M,-11891630327
476,Ogosport,-11918777407
477,Mezco Toyz,-11945924488
478,Learning Resources,-11973071568
479,Thames & Kosmos,-12000218649
480,Outset Media,-12027365729
481,WowWee,-12054512810
482,Orb Factory,-12081659890
483,Bratz,-12108806971
484,Ideal Toy Corp.,-12135954051
485,Mayfair Games,-12163101132
486,LEGO,-12190248212
487,Edushape,-12217395293
488,Vtech,-12244542373
489,Hasbro,-12271689454
490,RoosterFin Games,-12298836534
491,4M,-12325983615
492,Vtech,-12353130695
493,Diggin,-12380277776
494,Mukikim,-12407424856
495,Mukikim,-12434571937
496,Ravensburger,-12461719017
497,Hape,-12488866098
498,Yomega,-12516013178
499,Carrera,-12543160259
500,Mayfair Games,-12570307339
501,Barbie,-12597454420
502,Super Impulse,-12624601500
503,Yomega,-12651748581
504,Tiggly,-12678895661
505,Vtech,-12706042742
506,RoosterFin Games,-12733189822
507,Build-A-Bear Workshop,-12760336903
508,Zuru,-12787483983
509,Djubi,-12814631064
510,KidKraft,-12841778144
511,Schleich,-12868925225
512,Anki,-12896072305
513,Blue Orange Games,-12923219386
514,Mayfair Games,-12950366466
515,Tomy,-12977513547
516,Micro Kickboard,-13004660627
517,Zapf Creation,-13031807708
518,Toysmith,-13058954788
519,Mayfair Games,-13086101869
520,Thames & Kosmos,-13113248949
521,Waboba,-13140396030
522,Be Amazing! Toys,-13167543110
523,Geospace,-13194690191
524,B. Toys,-13221837271
525,Goliath Games,-13248984352
526,Bruder,-13276131432
527,Schleich,-13303278513
528,Lakeshore Learning Materials,-13330425593
529,Hoberman,-13357572674
530,Basic Fun!,-13384719754
531,TOMY,-13411866835
532,Meffert's,-13439013915
533,Yookidoo,-13466160996
534,Spin Master,-13493308076
535,Redwood Ventures,-13520455157
536,Toy State,-13547602237
537,Hexbug,-13574749318
538,Hot Wheels,-13601896398
539,Zuru,-13629043479
540,Schleich,-13656190559
541,SmartLab Toys,-13683337640
542,Diggin,-13710484720
543,Schleich,-13737631801
544,Jakks Pacific,-13764778881
545,Fat Brain Toys,-13791925962
546,Disney,-13819073042
547,VTech,-13846220123
548,Hexbug,-13873367203
549,Crayola,-13900514284
550,Play-Doh,-13927661364
551,Sassy,-13954808445
552,Toy Biz,-13981955525
553,Tedco Toys,-14009102606
554,Mukikim,-14036249686
555,Small World Toys,-14063396767
556,Mezco Toyz,-14090543847
557,Mayfair Games,-14117690928
558,Playmobil,-14144838008
559,Zing Toys,-14171985089
560,Mezco Toyz,-14199132169
561,Little Pim,-14226279250
562,PlayMonster,-14253426330
563,MGA Entertainment,-14280573411
564,Spin Master,-14307720491
565,Blue Orange Games,-14334867572
566,Tuttle Publishing,-14362014652
567,Hot Wheels,-14389161733
568,Fisher-Price,-14416308813
569,Play Visions,-14443455894
570,Play Visions,-14470602974
571,PopSockets,-14497750055
572,Mukikim,-14524897135
573,Toysmith,-14552044216
574,Fat Brain Toys,-14579191296
575,LeapFrog,-14606338377
576,Fat Brain Toys,-14633485457
577,Melissa & Doug,-14660632538
578,Patch Products,-14687779618
579,Klutz,-14714926699
580,National Geographic,-14742073779
581,Top Trumps,-14769220860
582,Tomy,-14796367940
583,Fisher-Price,-14823515021
584,SmartLab Toys,-14850662101
585,PicassoTiles,-14877809182
586,Educational Insights,-14904956262
587,National Geographic,-14932103343
588,Goliath Games,-14959250423
589,International Playthings,-14986397504
590,Blue Orange Games,-15013544584
591,Nerf Dog,-15040691665
592,Uncle Milton,-15067838745
593,Nerf Dog,-15094985826
594,PlaSmart,-15122132906
595,Hexbug,-15149279987
596,Blue Orange Games,-15176427067
597,Uncle Milton,-15203574148
598,McFarlane Toys,-15230721228
599,Rich Frog Industries,-15257868309
600,Tedco Toys,-15285015389
601,Radio Flyer,-15312162470
602,North Star Games,-15339309550
603,The Learning Journey,-15366456631
604,Patch Products,-15393603711
605,Moose Toys,-15420750792
606,The Learning Journey,-15447897872
607,Meffert's,-15475044953
608,Lakeshore Learning Materials,-15502192033
609,Manhattan Toy,-15529339114
610,Uncle Milton,-15556486194
611,Kid Galaxy,-15583633275
612,Crayon Rocks,-15610780355
613,Geomag,-15637927436
614,Peaceable Kingdom,-15665074516
615,Little Tikes,-15692221597
616,Blue Orange Games,-15719368677
617,Manhattan Toy,-15746515758
618,Manhattan Toy,-15773662838
619,Barbie,-15800809919
620,PlaSmart,-15827956999
621,Wild Republic,-15855104080
622,TY Beanie Boos,-15882251160
623,Outset Media,-15909398241
624,Small World Toys,-15936545321
625,Hot Wheels,-15963692402
626,Bruder,-15990839482
627,Build-A-Bear Workshop,-16017986563
628,Babalu,-16045133643
629,Mudpuppy,-16072280724
630,GoldieBlox,-16099427804
631,WowWee,-16126574885
632,Toysmith,-16153721965
633,WowWee,-16180869046
634,Mukikim,-16208016126
635,Geospace,-16235163207
636,Tactic Games,-16262310287
637,Geomag,-16289457368
638,Nerf,-16316604448
639,Siku,-16343751529
640,Wild Republic,-16370898609
641,Patch Products,-16398045690
642,PopSockets,-16425192770
643,Magformers,-16452339851
644,Goliath Games,-16479486931
645,Tactic Games,-16506634012
646,GUND,-16533781092
647,Meffert's,-16560928173
648,KidKraft,-16588075253
649,T.S. Shure,-16615222334
650,Bruder,-16642369414
651,Tactic Games,-16669516495
652,Bruder,-16696663575
653,TOMY,-16723810656
654,Manhattan Toy,-16750957736
655,Djubi,-16778104817
656,Goliath Games,-16805251897
657,Fat Brain Toys,-16832398978
658,Manhattan Toy,-16859546058
659,Outset Media,-16886693139
660,Fat Brain Toys,-16913840219
661,Bratz,-16940987300
662,Tonka,-16968134380
663,Learning Resources,-16995281461
664,Blue Orange Games,-17022428541
665,Toysmith,-17049575622
666,Yookidoo,-17076722702
667,PopSockets,-17103869783
668,VTech,-17131016863
669,Spin Master,-17158163944
670,KidKraft,-17185311024
671,Yomega,-17212458105
672,Kangaroo Manufacturing,-17239605185
673,Mukikim,-17266752266
674,The Learning Journey,-17293899346
675,Carrera,-17321046427
676,Play Visions,-17348193507
677,The Learning Journey,-17375340588
678,Ogosport,-17402487668
679,Jazwares,-17429634749
680,Kangaroo Manufacturing,-17456781829
681,Toy State,-17483928910
682,Siku,-17511075990
683,Manhattan Toy,-17538223071
684,Plan Toys,-17565370151
685,McNeill Designs,-17592517232
686,Disney,-17619664312
687,Hog Wild,-17646811393
688,Micro Kickboard,-17673958473
689,Thames & Kosmos,-17701105554
690,SmartGames,-17728252634
691,Razor,-17755399715
692,Bratz,-17782546795
693,Nerf Dog,-17809693876
694,Thames & Kosmos,-17836840956
695,Two Bros Bows,-17863988037
696,Learning Resources,-17891135117
697,Little Pim,-17918282198
698,Klutz,-17945429278
699,4M,-17972576359
700,Waboba,-17999723439
701,Little Tikes,-18026870520
702,Edushape,-18054017600
703,Iwako,-18081164681
704,Fat Brain Toys,-18108311761
705,Kangaroo Manufacturing,-18135458842
706,Toy Biz,-18162605922
707,Patch Products,-18189753003
708,Moose Toys,-18216900083
709,Nerf,-18244047164
710,Lakeshore Learning Materials,-18271194244
711,Uncle Milton,-18298341325
712,Ogosport,-18325488405
713,BeginAgain,-18352635486
714,Top Trumps,-18379782566
715,Zapf Creation,-18406929647
716,Edushape,-18434076727
717,Diggin,-18461223808
718,Faber-Castell,-18488370888
719,Barbie,-18515517969
720,Micro Kickboard,-18542665049
721,Crayola,-18569812130
722,Zuru,-18596959210
723,Poof-Slinky,-18624106291
724,Mindscope,-18651253371
725,Tactic Games,-18678400452
726,Orb Factory,-18705547532
727,Ideal Toy Corp.,-18732694613
728,Two Bros Bows,-18759841693
729,Build-A-Bear Workshop,-18786988774
730,Schleich,-18814135854
731,Radio Flyer,-18841282935
732,Orb Factory,-18868430015
733,Mukikim,-18895577096
734,Play Visions,-18922724176
735,GUND,-18949871257
736,Kangaroo Manufacturing,-18977018337
737,Tactic Games,-19004165418
738,RoosterFin Games,-19031312498
739,Hog Wild,-19058459579
740,Faber-Castell,-19085606659
741,Zing Toys,-19112753740
742,Duncan Toys,-19139900820
743,Crocodile Creek,-19167047901
744,KidKraft,-19194194981
745,Super Impulse,-19221342062
746,Ravensburger,-19248489142
747,Manhattan Toy,-19275636223
748,Poof-Slinky,-19302783303
749,Manhattan Toy,-19329930384
750,VTech,-19357077464
